,AGE_T1,BMI_T1,WAIST_T1,SBP_T1,DBP_T1,HBAC_T1,GLU_T1,CHO_T1,HDC_T1,LDC_T1,TGL_T1,ALT_T1
AGE_T1,1.0,0.14180239043061937,0.2236003249213357,0.26784656743924484,0.2163086691509295,0.29812200882941564,0.1999981715868559,0.3374203681040995,0.11021712566761595,0.29040202244522584,0.11960661916718293,0.054347275472268815
BMI_T1,0.14180239043061937,1.0,0.8146982716056271,0.2836374461335505,0.21914342502683318,0.20537498912351998,0.28021180756068187,0.09012472523252256,-0.2982570243862205,0.13881765678909738,0.2821187075406693,0.2025271574544132
WAIST_T1,0.2236003249213357,0.8146982716056271,1.0,0.3567408397702953,0.2902935372681107,0.2187269934815815,0.32319064146250337,0.11698094482107749,-0.39458600880527844,0.19161897311123205,0.3465258778554787,0.28057154553331887
SBP_T1,0.26784656743924484,0.2836374461335505,0.3567408397702953,1.0,0.688450383698154,0.12906142700450168,0.1907349173933725,0.16616288950808422,-0.1469977489116782,0.18353332391620927,0.21801101555205565,0.17790166511515856
DBP_T1,0.2163086691509295,0.21914342502683318,0.2902935372681107,0.688450383698154,1.0,0.08765007045690383,0.1505242430857741,0.15673567295166577,-0.1276721361603297,0.17332245699057933,0.19481010818382663,0.16509597510891344
HBAC_T1,0.29812200882941564,0.20537498912351998,0.2187269934815815,0.12906142700450168,0.08765007045690383,1.0,0.6283118578002369,0.1218674306120082,-0.046276702725026764,0.11787544768869682,0.12742835554412976,0.0763115764449775
GLU_T1,0.1999981715868559,0.28021180756068187,0.32319064146250337,0.1907349173933725,0.1505242430857741,0.6283118578002369,1.0,0.04709083478952824,-0.14973837758495476,0.06469692905676619,0.17678488860574135,0.14474578609414265
CHO_T1,0.3374203681040995,0.09012472523252256,0.11698094482107749,0.16616288950808422,0.15673567295166577,0.1218674306120082,0.04709083478952824,1.0,0.13754685601709646,0.9211792854663817,0.3423601474409015,0.09428443243099996
HDC_T1,0.11021712566761595,-0.2982570243862205,-0.39458600880527844,-0.1469977489116782,-0.1276721361603297,-0.046276702725026764,-0.14973837758495476,0.13754685601709646,1.0,-0.12093650153987312,-0.43500170421649625,-0.19929865390309592
LDC_T1,0.29040202244522584,0.13881765678909738,0.19161897311123205,0.18353332391620927,0.17332245699057933,0.11787544768869682,0.06469692905676619,0.9211792854663817,-0.12093650153987312,1.0,0.2827561626262709,0.12109401844078979
TGL_T1,0.11960661916718293,0.2821187075406693,0.3465258778554787,0.21801101555205565,0.19481010818382663,0.12742835554412976,0.17678488860574135,0.3423601474409015,-0.43500170421649625,0.2827561626262709,1.0,0.20635905478230676
ALT_T1,0.054347275472268815,0.2025271574544132,0.28057154553331887,0.17790166511515856,0.16509597510891344,0.0763115764449775,0.14474578609414265,0.09428443243099996,-0.19929865390309592,0.12109401844078979,0.20635905478230676,1.0
